840
   0.000   90.000 4 0
  54.000   82.071 4 0
 126.000   82.071 4 0
  54.000   74.141 4 0
  90.000   77.057 4 0
 126.000   74.141 4 0
  54.000   66.212 4 0
  76.610   69.868 4 0
 103.390   69.868 4 0
 126.000   66.212 4 0
  54.000   58.282 4 0
  70.498   62.057 4 0
  90.000   63.435 4 0
 109.502   62.057 4 0
 126.000   58.282 4 0
  54.000   50.353 4 0
  67.133   53.961 4 0
  82.123   55.911 4 0
  97.877   55.911 4 0
 112.867   53.961 4 0
 126.000   50.353 4 0
  54.000   42.424 4 0
  65.044   45.684 4 0
  77.189   47.765 4 0
  90.000   48.483 4 0
 102.811   47.765 4 0
 114.956   45.684 4 0
 126.000   42.424 4 0
  54.000   34.494 4 0
  63.633   37.271 4 0
  73.886   39.214 4 0
  84.576   40.216 4 0
  95.424   40.216 4 0
 106.114   39.214 4 0
 116.367   37.271 4 0
 126.000   34.494 4 0
  54.000   26.565 4 0
  62.607   28.755 4 0
  71.533   30.379 4 0
  80.701   31.380 4 0
  90.000   31.718 4 0
  99.299   31.380 4 0
 108.467   30.379 4 0
 117.393   28.755 4 0
 126.000   26.565 4 0
 198.000   82.071 4 0
 162.000   77.057 4 0
 148.610   69.868 4 0
 198.000   66.212 5 1
 142.498   62.057 4 0
 162.000   63.435 4 0
 198.000   58.282 5 1
 139.133   53.961 4 0
 154.123   55.911 4 0
 169.877   55.911 4 0
 137.044   45.684 4 0
 149.189   47.765 4 0
 162.000   48.483 4 0
 174.811   47.765 4 0
 186.956   45.684 4 0
 198.000   42.424 4 0
 135.633   37.271 4 0
 145.886   39.214 4 0
 156.576   40.216 4 0
 167.424   40.216 4 0
 178.114   39.214 4 0
 188.367   37.271 4 0
 198.000   34.494 4 0
 134.607   28.755 4 0
 143.533   30.379 4 0
 152.701   31.380 4 0
 162.000   31.718 4 0
 171.299   31.380 4 0
 180.467   30.379 4 0
 189.393   28.755 4 0
 198.000   26.565 4 0
 270.000   82.071 4 0
 220.610   69.868 5 1
 247.390   69.868 5 1
 270.000   66.212 5 1
 214.498   62.057 5 1
 234.000   63.435 5 1
 253.502   62.057 5 1
 270.000   58.282 5 1
 211.133   53.961 5 1
 226.123   55.911 5 1
 241.877   55.911 5 1
 256.867   53.961 5 1
 270.000   50.353 5 1
 221.189   47.765 5 1
 234.000   48.483 5 1
 246.811   47.765 5 1
 258.956   45.684 5 1
 270.000   42.424 5 1
 207.633   37.271 4 0
 228.576   40.216 5 1
 239.424   40.216 5 1
 250.114   39.214 5 1
 260.367   37.271 5 1
 270.000   34.494 5 1
 206.607   28.755 4 0
 215.533   30.379 4 0
 234.000   31.718 5 1
 243.299   31.380 5 1
 252.467   30.379 5 1
 261.393   28.755 5 1
 270.000   26.565 5 1
 342.000   82.071 4 0
 342.000   74.141 4 0
 292.610   69.868 5 1
 342.000   66.212 4 0
 286.498   62.057 5 1
 306.000   63.435 5 1
 342.000   58.282 4 0
 283.133   53.961 5 1
 298.123   55.911 5 1
 313.877   55.911 5 1
 342.000   50.353 4 0
 281.044   45.684 5 1
 293.189   47.765 5 1
 306.000   48.483 5 1
 330.956   45.684 4 0
 342.000   42.424 4 0
 279.633   37.271 5 1
 289.886   39.214 5 1
 300.576   40.216 5 1
 322.114   39.214 4 0
 332.367   37.271 4 0
 342.000   34.494 4 0
 278.607   28.755 5 1
 287.533   30.379 5 1
 315.299   31.380 4 0
 324.467   30.379 4 0
 333.393   28.755 4 0
 342.000   26.565 4 0
  18.000   77.057 4 0
   4.610   69.868 4 0
  31.390   69.868 4 0
 358.498   62.057 4 0
  18.000   63.435 4 0
  37.502   62.057 4 0
 355.133   53.961 4 0
  10.123   55.911 4 0
  25.877   55.911 4 0
  40.867   53.961 4 0
 353.044   45.684 4 0
   5.189   47.765 4 0
  18.000   48.483 4 0
