2562  
0.000000E+00 0.900000E+02 5
0.540000E+02 0.860353E+02 5
0.126000E+03 0.860353E+02 5
0.540000E+02 0.820706E+02 5
0.900000E+02 0.835709E+02 5
0.126000E+03 0.820706E+02 5
0.540000E+02 0.781059E+02 5
0.764436E+02 0.800581E+02 5
0.103556E+03 0.800581E+02 5
0.126000E+03 0.781059E+02 5
0.540000E+02 0.741413E+02 5
0.701556E+02 0.762697E+02 5
0.900000E+02 0.770568E+02 5
0.109844E+03 0.762697E+02 5
0.126000E+03 0.741413E+02 5
0.540000E+02 0.701766E+02 5
0.666285E+02 0.723747E+02 5
0.818378E+02 0.735839E+02 5
0.981622E+02 0.735839E+02 5
0.113372E+03 0.723747E+02 5
0.126000E+03 0.701766E+02 5
0.540000E+02 0.662119E+02 5
0.643986E+02 0.684241E+02 5
0.766103E+02 0.698679E+02 5
0.900000E+02 0.703728E+02 5
0.103390E+03 0.698679E+02 5
0.115601E+03 0.684241E+02 5
0.126000E+03 0.662119E+02 5
0.540000E+02 0.622472E+02 5
0.628736E+02 0.644379E+02 5
0.730492E+02 0.660096E+02 5
0.842229E+02 0.668355E+02 5
0.957771E+02 0.668355E+02 5
0.106951E+03 0.660096E+02 5
0.117126E+03 0.644379E+02 5
0.126000E+03 0.622472E+02 5
0.540000E+02 0.582825E+02 5
0.617717E+02 0.604254E+02 5
0.704980E+02 0.620571E+02 5
0.800191E+02 0.630839E+02 5
0.900000E+02 0.634350E+02 5
0.999809E+02 0.630839E+02 5
0.109502E+03 0.620571E+02 5
0.118228E+03 0.604254E+02 5
0.126000E+03 0.582825E+02 5
0.540000E+02 0.543178E+02 5
0.609426E+02 0.563917E+02 5
0.685962E+02 0.580362E+02 5
0.768693E+02 0.591817E+02 5
0.855717E+02 0.597708E+02 5
0.944283E+02 0.597708E+02 5
0.103131E+03 0.591817E+02 5
0.111404E+03 0.580362E+02 5
0.119057E+03 0.563917E+02 5
0.126000E+03 0.543178E+02 5
0.540000E+02 0.503532E+02 5
0.602990E+02 0.523395E+02 5
0.671328E+02 0.539614E+02 5
0.744452E+02 0.551668E+02 5
0.821231E+02 0.559107E+02 5
0.900000E+02 0.561624E+02 5
0.978769E+02 0.559107E+02 5
0.105555E+03 0.551668E+02 5
0.112867E+03 0.539614E+02 5
0.119701E+03 0.523395E+02 5
0.126000E+03 0.503532E+02 5
0.540000E+02 0.463885E+02 5
0.597866E+02 0.482708E+02 5
0.659772E+02 0.498418E+02 5
0.725353E+02 0.510627E+02 5
0.793908E+02 0.518989E+02 5
0.864410E+02 0.523241E+02 5
0.935590E+02 0.523241E+02 5
0.100609E+03 0.518989E+02 5
0.107465E+03 0.510627E+02 5
0.114023E+03 0.498418E+02 5
0.120213E+03 0.482708E+02 5
0.126000E+03 0.463885E+02 5
0.540000E+02 0.424238E+02 5
0.593697E+02 0.441869E+02 5
0.650443E+02 0.456838E+02 5
0.709991E+02 0.468854E+02 5
0.771890E+02 0.477653E+02 5
0.835495E+02 0.483025E+02 5
0.900000E+02 0.484832E+02 5
0.964505E+02 0.483025E+02 5
0.102811E+03 0.477653E+02 5
0.109001E+03 0.468854E+02 5
0.114956E+03 0.456838E+02 5
0.120630E+03 0.441869E+02 5
0.126000E+03 0.424238E+02 5
0.540000E+02 0.384591E+02 5
0.590238E+02 0.400891E+02 5
0.642764E+02 0.414920E+02 5
0.697401E+02 0.426461E+02 5
0.753857E+02 0.435315E+02 5
0.811719E+02 0.441317E+02 5
0.870471E+02 0.444350E+02 5
0.929529E+02 0.444350E+02 5
0.988281E+02 0.441317E+02 5
0.104614E+03 0.435315E+02 5
0.110260E+03 0.426461E+02 5
0.115724E+03 0.414920E+02 5
0.120976E+03 0.400891E+02 5
0.126000E+03 0.384591E+02 5
0.540000E+02 0.344944E+02 5
0.587317E+02 0.359788E+02 5
0.636327E+02 0.372707E+02 5
0.686905E+02 0.383539E+02 5
0.738858E+02 0.392137E+02 5
0.791918E+02 0.398376E+02 5
0.845758E+02 0.402160E+02 5
0.900000E+02 0.403429E+02 5
0.954242E+02 0.402160E+02 5
0.100808E+03 0.398376E+02 5
0.106114E+03 0.392137E+02 5
0.111309E+03 0.383539E+02 5
0.116367E+03 0.372707E+02 5
0.121268E+03 0.359788E+02 5
0.126000E+03 0.344944E+02 5
0.540000E+02 0.305297E+02 5
0.584804E+02 0.318574E+02 5
0.630836E+02 0.330236E+02 5
0.678008E+02 0.340166E+02 5
0.726191E+02 0.348255E+02 5
0.775213E+02 0.354411E+02 5
0.824866E+02 0.358558E+02 5
0.874911E+02 0.360646E+02 5
0.925089E+02 0.360646E+02 5
0.975134E+02 0.358558E+02 5
0.102479E+03 0.354411E+02 5
0.107381E+03 0.348255E+02 5
0.112199E+03 0.340166E+02 5
0.116916E+03 0.330236E+02 5
0.121520E+03 0.318574E+02 5
0.126000E+03 0.305297E+02 5
0.540000E+02 0.265651E+02 5
0.582603E+02 0.277266E+02 5
0.626069E+02 0.287551E+02 5
0.670340E+02 0.296419E+02 5
0.715330E+02 0.303792E+02 5
0.760930E+02 0.309603E+02 5
0.807010E+02 0.313795E+02 5
0.853421E+02 0.316328E+02 5
0.900000E+02 0.317175E+02 5
0.946579E+02 0.316328E+02 5
0.992990E+02 0.313795E+02 5
0.103907E+03 0.309603E+02 5
0.108467E+03 0.303792E+02 5
0.112966E+03 0.296419E+02 5
0.117393E+03 0.287551E+02 5
0.121740E+03 0.277266E+02 5
0.126000E+03 0.265651E+02 5
0.198000E+03 0.860353E+02 5
0.162000E+03 0.835709E+02 5
0.198000E+03 0.820706E+02 5
0.148444E+03 0.800581E+02 5
0.175556E+03 0.800581E+02 5
0.198000E+03 0.781059E+02 5
0.142156E+03 0.762697E+02 5
0.162000E+03 0.770568E+02 5
0.181844E+03 0.762697E+02 5
0.198000E+03 0.741413E+02 5
0.138628E+03 0.723747E+02 5
0.153838E+03 0.735839E+02 5
0.170162E+03 0.735839E+02 5
0.185372E+03 0.723747E+02 5
0.198000E+03 0.701766E+02 5
0.136399E+03 0.684241E+02 5
0.148610E+03 0.698679E+02 5
0.162000E+03 0.703728E+02 5
0.175390E+03 0.698679E+02 5
0.187601E+03 0.684241E+02 5
0.198000E+03 0.662119E+02 5
0.134874E+03 0.644379E+02 5
0.145049E+03 0.660096E+02 5
0.156223E+03 0.668355E+02 5
0.167777E+03 0.668355E+02 5
0.178951E+03 0.660096E+02 5
0.189126E+03 0.644379E+02 5
0.198000E+03 0.622472E+02 5
0.133772E+03 0.604254E+02 5
0.142498E+03 0.620571E+02 5
0.152019E+03 0.630839E+02 5
0.162000E+03 0.634350E+02 5
0.171981E+03 0.630839E+02 5
0.181502E+03 0.620571E+02 5
0.190228E+03 0.604254E+02 5
0.198000E+03 0.582825E+02 5
0.132943E+03 0.563917E+02 5
0.140596E+03 0.580362E+02 5
0.148869E+03 0.591817E+02 5
0.157572E+03 0.597708E+02 5
0.166428E+03 0.597708E+02 5
0.175131E+03 0.591817E+02 5
0.183404E+03 0.580362E+02 5
0.191057E+03 0.563917E+02 5
0.198000E+03 0.543178E+02 5
0.132299E+03 0.523395E+02 5
0.139133E+03 0.539614E+02 5
0.146445E+03 0.551668E+02 5
0.154123E+03 0.559107E+02 5
0.162000E+03 0.561624E+02 5
0.169877E+03 0.559107E+02 5
0.177555E+03 0.551668E+02 5
0.184867E+03 0.539614E+02 5
0.191701E+03 0.523395E+02 5
0.198000E+03 0.503532E+02 5
0.131787E+03 0.482708E+02 5
0.137977E+03 0.498418E+02 5
0.144535E+03 0.510627E+02 5
